constituency_code,candidate_party_code,candidate_votes,win,winner,assembly_code
NA259,Balochistan Awami Party,11915,68332,,NA
NA259,Balochistan National Movement,2323,68332,,NA
NA259,Balochistan National Party,3013,68332,,NA
NA259,Balochistan National Party(Awami),565,68332,,NA
NA259,Independent,68332,68332,1,NA
NA259,Jamhoori Watan Party,22074,68332,,NA
NA259,Mutahida Majlis-e-Amal Pakistan,6113,68332,,NA
NA259,National Party,1864,68332,,NA
NA259,Pak Sarzameen Party,243,68332,,NA
NA259,Pakhtoonkhwa Milli Awami Party,2576,68332,,NA
NA259,Pakistan Justice and Democratic Party,359,68332,,NA
NA259,Pakistan Peoples Party Parliamentarians,17598,68332,,NA
NA259,Pakistan Tehreek-e-Insaf,5421,68332,,NA
NA259,Tehreek Labbaik Pakistan,2878,68332,,NA
NA259,Tehreek-e-Labbaik Islam,2077,68332,,NA
NA26,Awami National Party,47020,90112,,NA
NA26,Independent,1436,90112,,NA
NA26,Mutahida Majlis-e-Amal Pakistan,22857,90112,,NA
NA26,Pakistan Muslim League (N),4050,90112,,NA
NA26,Pakistan Peoples Party Parliamentarians,9741,90112,,NA
NA26,Pakistan Tehreek-e-Insaf,90112,90112,1,NA
NA26,Tehreek Labbaik Pakistan,6460,90112,,NA
NA26,Tehrik Jawanan Pakistan,640,90112,,NA
NA260,Allah-O-Akbar Tehreek,1236,53396,,NA
NA260,Balochistan Awami Party,53396,53396,1,NA
NA260,Balochistan National Party,2505,53396,,NA
NA260,Independent,13653,53396,,NA
NA260,Jamote Qaumi Movement,3219,53396,,NA
NA260,Mutahida Majlis-e-Amal Pakistan,10021,53396,,NA
NA260,National Party,433,53396,,NA
NA260,Pak Sarzameen Party,54,53396,,NA
NA260,Pakistan Falah Party,1011,53396,,NA
NA260,Pakistan Peoples Party Parliamentarians,4738,53396,,NA
NA260,Pakistan Tehreek-e-Insaf,40018,53396,,NA
NA261,Balochistan Awami Party,22284,45222,,NA
NA261,Balochistan National Party,1336,45222,,NA
NA261,Grand Democratic Alliance,352,45222,,NA
NA261,Independent,8598,45222,,NA
NA261,Mutahida Majlis-e-Amal Pakistan,5238,45222,,NA
NA261,Pakistan Peoples Party Parliamentarians,27563,45222,,NA
NA261,Pakistan Tehreek-e-Insaf,45222,45222,1,NA
NA262,Awami Workers Party,5283,45154,,NA
NA262,Balochistan Awami Party,13074,45154,,NA
NA262,Independent,2318,45154,,NA
NA262,Jamiat Ulama-e-Islam Nazaryati Pakistan,403,45154,,NA
NA262,Mutahida Majlis-e-Amal Pakistan,45154,45154,1,NA
NA262,Pakhtoonkhwa Milli Awami Party,23651,45154,,NA
NA262,Pakistan Muslim League (N),637,45154,,NA
NA262,Pakistan Peoples Party Parliamentarians,9074,45154,,NA
NA262,Pakistan Tehreek-e-Insaf,4490,45154,,NA
NA263,All Pakistan Tehreek,155,37171,,NA
NA263,Awami National Party,21417,37171,,NA
NA263,Balochistan Awami Party,3990,37171,,NA
NA263,Independent,4428,37171,,NA
NA263,Jamiat Ulama-e-Islam Nazaryati Pakistan,686,37171,,NA
NA263,Mutahida Majlis-e-Amal Pakistan,37171,37171,1,NA
NA263,Pakhtoonkhwa Milli Awami Party,19989,37171,,NA
NA263,Pakistan Muslim League,192,37171,,NA
NA263,Pakistan Muslim League (N),282,37171,,NA
NA263,Pakistan Peoples Party Parliamentarians,993,37171,,NA
NA263,Pakistan Tehreek-e-Insaf,2732,37171,,NA
NA264,Awami National Party,1873,14887,,NA
NA264,Balochistan Awami Party,2882,14887,,NA
NA264,Balochistan National Party,10071,14887,,NA
NA264,Hazara Democratic Party,5890,14887,,NA
NA264,Independent,1278,14887,,NA
NA264,Jamiat Ulama-e-Islam Nazaryati Pakistan,2070,14887,,NA
NA264,Jamiyat Ulma-e-Islam Pakistan(S),159,14887,,NA
NA264,Mutahida Majlis-e-Amal Pakistan,14887,14887,1,NA
NA264,Pakhtoonkhwa Milli Awami Party,8980,14887,,NA
NA264,Pakistan Muslim League (N),2159,14887,,NA
NA264,Pakistan Peoples Party Parliamentarians,6989,14887,,NA
NA264,Pakistan Tehreek-e-Insaf,10053,14887,,NA
NA265,All Pakistan Muslim League,214,25973,,NA
NA265,Awami National Party,7297,25973,,NA
NA265,Balochistan Awami Party,4277,25973,,NA
NA265,Balochistan National Party,20389,25973,,NA
NA265,Hazara Democratic Party,2052,25973,,NA
NA265,Independent,9415,25973,,NA
NA265,Majlis Wahdat-e-Muslimeen Pakistan,5004,25973,,NA
NA265,Mutahida Majlis-e-Amal Pakistan,10124,25973,,NA
NA265,Muttahida Qaumi Movement Pakistan,122,25973,,NA
NA265,National Party,235,25973,,NA
NA265,Pak Sarzameen Party,300,25973,,NA
NA265,Pakhtoonkhwa Milli Awami Party,11486,25973,,NA
NA265,Pakistan Muslim League (N),9931,25973,,NA
NA265,Pakistan Peoples Party Parliamentarians,5872,25973,,NA
NA265,Pakistan Reh-e- Haq Party,1863,25973,,NA
NA265,Pakistan Tehreek-e-Insaf,25973,25973,1,NA
NA265,Qaumi Watan Party,178,25973,,NA
NA266,Awami National Party,142,20056,,NA
NA266,Balochistan Awami Party,5124,20056,,NA
NA266,Balochistan National Movement,78,20056,,NA
NA266,Balochistan National Party,20056,20056,1,NA
NA266,Balochistan National Party(Awami),478,20056,,NA
NA266,Independent,1634,20056,,NA
NA266,Mutahida Majlis-e-Amal Pakistan,11063,20056,,NA
NA266,National Party,1327,20056,,NA
NA266,Pakhtoonkhwa Milli Awami Party,9132,20056,,NA
NA266,Pakistan Muslim League (N),868,20056,,NA
NA266,Pakistan Peoples Party Parliamentarians,5018,20056,,NA
NA266,Pakistan Reh-e- Haq Party,1053,20056,,NA
NA266,Pakistan Tehreek-e-Insaf,5624,20056,,NA
NA267,Allah-O-Akbar Tehreek,3096,26593,,NA
NA267,Balochistan Awami Party,20358,26593,,NA
NA267,Balochistan National Movement,1293,26593,,NA
NA267,Balochistan National Party,25504,26593,,NA
NA267,Balochistan National Party(Awami),2448,26593,,NA
NA267,Independent,9386,26593,,NA
NA267,Jamiat Ulama-e-Islam Nazaryati Pakistan,525,26593,,NA
NA267,Mutahida Majlis-e-Amal Pakistan,26593,26593,1,NA
NA267,National Party,7793,26593,,NA
NA267,National Peace Council Party,241,26593,,NA
NA267,Pak Sarzameen Party,313,26593,,NA
NA267,Pakistan Muslim League (N),7050,26593,,NA
NA267,Pakistan Peoples Party Parliamentarians,1553,26593,,NA
NA267,Pakistan Tehreek-e-Insaf,3643,26593,,NA
NA267,Tehreek Labbaik Pakistan,802,26593,,NA
NA267,Tehreek-e-Labbaik Islam,404,26593,,NA
NA268,Allah-O-Akbar Tehreek,389,35205,,NA
NA268,Balochistan National Party,35205,35205,1,NA
NA268,Balochistan National Party(Awami),178,35205,,NA
NA268,Independent,30822,35205,,NA
NA268,Jamiat Ulama-e-Islam Nazaryati Pakistan,404,35205,,NA
NA268,Mutahida Majlis-e-Amal Pakistan,23693,35205,,NA
NA268,National Party,234,35205,,NA
NA268,Pakistan Muslim League (N),12850,35205,,NA
NA268,Pakistan Peoples Party Parliamentarians,19171,35205,,NA
NA268,Pakistan Reh-e- Haq Party,229,35205,,NA
NA268,Pakistan Tehreek-e-Insaf,3016,35205,,NA
NA268,Tehreek-e-Labbaik Islam,1142,35205,,NA
NA269,Balochistan Awami Party,19725,52878,,NA
NA269,Balochistan National Movement,439,52878,,NA
NA269,Balochistan National Party,52878,52878,1,NA
NA269,Balochistan National Party(Awami),9704,52878,,NA
NA269,Independent,15745,52878,,NA
NA269,Jamiat Ulama-e-Islam Nazaryati Pakistan,764,52878,,NA
NA269,National Party,4107,52878,,NA
NA269,Pakistan Muslim League (N),4615,52878,,NA
NA269,Pakistan Peoples Party Parliamentarians,2371,52878,,NA
NA269,Pakistan Tehreek-e-Insaf,836,52878,,NA
NA269,Tehreek Labbaik Pakistan,2497,52878,,NA
NA27,Awami National Party,6615,71158,,NA
NA27,Independent,3526,71158,,NA
NA27,Mutahida Majlis-e-Amal Pakistan,39310,71158,,NA
NA27,Pakistan Muslim League (N),3136,71158,,NA
NA27,Pakistan Peoples Party Parliamentarians,24002,71158,,NA
NA27,Pakistan Tehreek-e-Insaf,71158,71158,1,NA
NA27,Qaumi Watan Party,1414,71158,,NA
NA270,Allah-O-Akbar Tehreek,165,18727,,NA
NA270,Balochistan Awami Party,18727,18727,1,NA
NA270,Balochistan National Party,12850,18727,,NA
NA270,Balochistan National Party(Awami),17644,18727,,NA
NA270,Independent,6955,18727,,NA
NA270,Mutahida Majlis-e-Amal Pakistan,16256,18727,,NA
NA270,National Party,4115,18727,,NA
NA270,Pak Sarzameen Party,446,18727,,NA
NA270,Pakistan Muslim League (N),10996,18727,,NA
NA270,Pakistan Peoples Party Parliamentarians,742,18727,,NA
NA270,Tehreek Labbaik Pakistan,542,18727,,NA
NA272,Amun Taraqqi Party,164,70873,,NA
NA272,Balochistan Awami Party,63777,70873,,NA
NA272,Balochistan National Party,41981,70873,,NA
NA272,Balochistan National Party(Awami),1973,70873,,NA
NA272,Independent,70873,70873,1,NA
NA272,Mutahida Majlis-e-Amal Pakistan,4415,70873,,NA
NA272,Pak Sarzameen Party,887,70873,,NA
NA272,Pakistan Tehreek-e-Insaf,1596,70873,,NA
NA272,Tehreek Labbaik Pakistan,4630,70873,,NA
NA28,Awami National Party,22096,74414,,NA
NA28,Independent,274,74414,,NA
NA28,Mutahida Majlis-e-Amal Pakistan,27292,74414,,NA
NA28,Pakistan Muslim League (N),7010,74414,,NA
NA28,Pakistan Tehreek-e-Insaf,74414,74414,1,NA
NA28,Tehreek Labbaik Pakistan,14296,74414,,NA
NA29,Awami National Party,20392,49762,,NA
NA29,Mutahida Majlis-e-Amal Pakistan,29357,49762,,NA
NA29,Pakistan Muslim League (N),15458,49762,,NA
NA29,Pakistan Tehreek-e-Insaf,49762,49762,1,NA
NA29,Tehreek Labbaik Pakistan,10569,49762,,NA
NA3,Awami National Party,21895,68160,,NA
NA3,Independent,19223,68160,,NA
NA3,Jamiat Ulama-e-Islam Nazaryati Pakistan,1368,68160,,NA
NA3,Pakistan Muslim League (N),22726,68160,,NA
NA3,Pakistan Peoples Party Parliamentarians,22046,68160,,NA
NA3,Pakistan Tehreek-e-Insaf,68160,68160,1,NA
NA30,Awami National Party,11514,73781,,NA
NA30,Independent,305,73781,,NA
NA30,Mutahida Majlis-e-Amal Pakistan,18111,73781,,NA
NA30,Pakistan Justice and Democratic Party,170,73781,,NA
NA30,Pakistan Muslim League,139,73781,,NA
NA30,Pakistan Muslim League (N),3799,73781,,NA
NA30,Pakistan Peoples Party Parliamentarians,14593,73781,,NA
NA30,Pakistan Tehreek-e-Insaf,73781,73781,1,NA
NA31,All Pakistan Muslim League,604,87895,,NA
NA31,Amun Taraqqi Party,138,87895,,NA
NA31,Awami National Party,42476,87895,,NA
NA31,Independent,6577,87895,,NA
NA31,Mutahida Majlis-e-Amal Pakistan,11657,87895,,NA
NA31,Pakistan Muslim League (N),3093,87895,,NA
NA31,Pakistan Peoples Party Parliamentarians,7499,87895,,NA
NA31,Pakistan Tehreek-e-Insaf,87895,87895,1,NA
NA31,Pasban Pakistan,615,87895,,NA
NA31,Tehreek Labbaik Pakistan,430,87895,,NA
NA32,Independent,7747,71432,,NA
NA32,Mutahida Majlis-e-Amal Pakistan,40389,71432,,NA
NA32,Pakistan Muslim League (N),37980,71432,,NA
NA32,Pakistan Peoples Party Parliamentarians,4485,71432,,NA
NA32,Pakistan Tehreek-e-Insaf,71432,71432,1,NA
NA32,Tehreek Labbaik Pakistan,1086,71432,,NA
NA33,Awami National Party,2647,28456,,NA
NA33,Independent,14507,28456,,NA
NA33,Mutahida Majlis-e-Amal Pakistan,27311,28456,,NA
NA33,Pakistan Peoples Party Parliamentarians,3347,28456,,NA
NA33,Pakistan Tehreek-e-Insaf,28456,28456,1,NA
NA34,Independent,27770,77181,,NA
NA34,Jamiyat Ulma-e-Islam Pakistan(S),16935,77181,,NA
NA34,Mutahida Majlis-e-Amal Pakistan,28534,77181,,NA
NA34,Pakistan Justice and Democratic Party,1408,77181,,NA
NA34,Pakistan Muslim League,371,77181,,NA
NA34,Pakistan Muslim League (N),14346,77181,,NA
NA34,Pakistan Peoples Party Parliamentarians,28043,77181,,NA
NA34,Pakistan Tehreek-e-Insaf,77181,77181,1,NA
NA35,All Pakistan Muslim League,306,113822,,NA
NA35,Independent,3449,113822,,NA
NA35,Jamiyat Ulma-e-Islam Pakistan(S),1624,113822,,NA
NA35,Mutahida Majlis-e-Amal Pakistan,106820,113822,,NA
NA35,Pak Sarzameen Party,1028,113822,,NA
NA35,Pakistan Aman Party,852,113822,,NA
NA35,Pakistan Justice and Democratic Party,1015,113822,,NA
NA35,Pakistan Peoples Party Parliamentarians,9173,113822,,NA
NA35,Pakistan Reh-e- Haq Party,873,113822,,NA
NA35,Pakistan Tehreek-e-Insaf,113822,113822,1,NA
NA36,Independent,16667,91392,,NA
NA36,Mutahida Majlis-e-Amal Pakistan,91392,91392,1,NA
NA36,Pakhtoonkhwa Milli Awami Party,1642,91392,,NA
NA36,Pakistan Muslim League (N),448,91392,,NA
NA36,Pakistan Peoples Party Parliamentarians,3086,91392,,NA
NA36,Pakistan Tehreek-e-Insaf,81859,91392,,NA
NA36,Tehreek Labbaik Pakistan,6653,91392,,NA
NA37,All Pakistan Muslim League,271,30678,,NA
NA37,Independent,30678,30678,1,NA
NA37,Mutahida Majlis-e-Amal Pakistan,28504,30678,,NA
NA37,Pakistan Muslim League (N),430,30678,,NA
NA37,Pakistan Tehreek-e-Insaf,16599,30678,,NA
NA38,Independent,43849,56736,,NA
NA38,Mutahida Majlis-e-Amal Pakistan,33549,56736,,NA
NA38,Pakistan Muslim League (N),566,56736,,NA
NA38,Pakistan Peoples Party Parliamentarians,17451,56736,,NA
NA38,Pakistan Tehreek-e-Insaf,56736,56736,1,NA
NA38,Tehreek Labbaik Pakistan,4362,56736,,NA
NA39,Amun Taraqqi Party,670,79334,,NA
NA39,Independent,17826,79334,,NA
NA39,Mutahida Majlis-e-Amal Pakistan,52031,79334,,NA
NA39,Pakistan Peoples Party Parliamentarians,10003,79334,,NA
NA39,Pakistan Tehreek-e-Insaf,79334,79334,1,NA
NA4,Allah-O-Akbar Tehreek,904,71600,,NA
NA4,Awami National Party,30975,71600,,NA
NA4,Independent,783,71600,,NA
NA4,Mutahida Majlis-e-Amal Pakistan,17542,71600,,NA
NA4,Pakhtoonkhwa Milli Awami Party,1464,71600,,NA
NA4,Pakistan Muslim League (N),14494,71600,,NA
NA4,Pakistan Peoples Party Parliamentarians,12328,71600,,NA
NA4,Pakistan Tehreek-e-Insaf,71600,71600,1,NA
NA4,Qaumi Watan Party,2240,71600,,NA
NA4,Tehreek Labbaik Pakistan,1579,71600,,NA
NA40,Awami National Party,14304,39808,,NA
NA40,Independent,39808,39808,1,NA
NA40,Pak Sarzameen Party,165,39808,,NA
NA40,Pakhtoonkhwa Milli Awami Party,275,39808,,NA
NA40,Pakistan Muslim League,263,39808,,NA
NA40,Pakistan Peoples Party Parliamentarians,12906,39808,,NA
NA40,Pakistan Tehreek-e-Insaf,34616,39808,,NA
NA40,Qaumi Watan Party,352,39808,,NA
NA41,Allah-O-Akbar Tehreek,56,45307,,NA
NA41,Awami National Party,4764,45307,,NA
NA41,Independent,45307,45307,1,NA
NA41,Mutahida Majlis-e-Amal Pakistan,11415,45307,,NA
NA41,Pak Sarzameen Party,151,45307,,NA
NA41,Pakistan Peoples Party,4016,45307,,NA
NA41,Pakistan Tehreek-e-Insaf,22730,45307,,NA
NA44,Awami National Party,4651,42236,,NA
NA44,Independent,42236,42236,1,NA
NA44,Jamiyat Ulma-e-Islam Pakistan(S),1096,42236,,NA
NA44,Pakistan Awami Inqelabi League,5408,42236,,NA
NA44,Pakistan Peoples Party Parliamentarians,1586,42236,,NA
NA44,Pakistan Tehreek-e-Insaf,12549,42236,,NA
NA45,Awami National Party,216,16438,,NA
NA45,Independent,16438,16438,1,NA
NA45,Mutahida Majlis-e-Amal Pakistan,11805,16438,,NA
NA45,Mutahiddia Qabail Party,47,16438,,NA
NA45,Pakistan Muslim League (N),247,16438,,NA
NA45,Pakistan Muslim League (Zia-ul-Haq Shaheed),54,16438,,NA
NA45,Pakistan Peoples Party Parliamentarians,2726,16438,,NA
NA45,Pakistan Reh-e- Haq Party,190,16438,,NA
NA45,Pakistan Tehreek-e-Insaf,10604,16438,,NA
NA45,Tehrik Jawanan Pakistan,426,16438,,NA
NA46,Independent,34317,34317,1,NA
NA46,Majlis Wahdat-e-Muslimeen Pakistan,27,34317,,NA
NA46,Pakistan Peoples Party Parliamentarians,21461,34317,,NA
NA46,Pakistan Reh-e- Haq Party,598,34317,,NA
NA46,Pakistan Tehreek-e-Insaf,16934,34317,,NA
NA48,Independent,29477,29477,1,NA
NA48,Jamiyat Ulma-e-Islam Pakistan(S),2436,29477,,NA
NA48,Mutahida Majlis-e-Amal Pakistan,15352,29477,,NA
NA48,Pakhtoonkhwa Milli Awami Party,21,29477,,NA
NA48,Pakistan Muslim League (N),72,29477,,NA
NA48,Pakistan Peoples Party Parliamentarians,2313,29477,,NA
NA48,Pakistan Tehreek-e-Insaf,6246,29477,,NA
NA48,Qaumi Watan Party,380,29477,,NA
NA48,Tehrik Jawanan Pakistan,213,29477,,NA
NA49,Awami National Party,2258,17019,,NA
NA49,Independent,17019,17019,1,NA
NA49,Mutahida Majlis-e-Amal Pakistan,7545,17019,,NA
NA49,Pakhtoonkhwa Milli Awami Party,267,17019,,NA
NA49,Pakistan Muslim League (N),54,17019,,NA
NA49,Pakistan Tehreek-e-Insaf,6241,17019,,NA
NA49,Qaumi Watan Party,476,17019,,NA
NA5,All Pakistan Muslim League,1916,66565,,NA
NA5,Awami National Party,8539,66565,,NA
NA5,Independent,4111,66565,,NA
NA5,Mutahida Majlis-e-Amal Pakistan,57715,66565,,NA
NA5,Pak Sarzameen Party,372,66565,,NA
NA5,Pakistan Muslim League,121,66565,,NA
NA5,Pakistan Muslim League (N),14476,66565,,NA
NA5,Pakistan Peoples Party Parliamentarians,53983,66565,,NA
NA5,Pakistan Tehreek-e-Insaf,66565,66565,1,NA
NA50,Awami National Party,285,37899,,NA
NA50,Independent,37899,37899,1,NA
NA50,Jamiyat Ulma-e-Islam Pakistan(S),162,37899,,NA
NA50,Mutahida Majlis-e-Amal Pakistan,7515,37899,,NA
NA50,Pakistan Muslim League (N),725,37899,,NA
NA50,Pakistan Peoples Party Parliamentarians,224,37899,,NA
NA52,Independent,854,64690,,NA
NA52,Mutahida Majlis-e-Amal Pakistan,2495,64690,,NA
NA52,Pakistan Muslim League (N),33519,64690,,NA
NA52,Pakistan Peoples Party Parliamentarians,34072,64690,,NA
NA52,Pakistan Tehreek-e-Insaf,64690,64690,1,NA
NA52,Tehreek Labbaik Pakistan,11984,64690,,NA
NA52,Tehreek-e-Labbaik Islam,548,64690,,NA
NA53,Aam Log Party Pakistan,198,91441,,NA
NA53,All Pakistan Muslim League,106,91441,,NA
NA53,Allah-O-Akbar Tehreek,1361,91441,,NA
NA53,Awami National Party,31,91441,,NA
NA53,Awami Workers Party,1848,91441,,NA
NA53,Humdardan-e-Watan Pakistan,1142,91441,,NA
NA53,Independent,4166,91441,,NA
NA53,Mutahida Majlis-e-Amal Pakistan,6622,91441,,NA
NA53,Pak Sarzameen Party,123,91441,,NA
NA53,Pakistan Awami League,466,91441,,NA
NA53,Pakistan Justice and Democratic Party,26,91441,,NA
NA53,Pakistan Muslim League (N),43812,91441,,NA
NA53,Pakistan Peoples Party Parliamentarians,18052,91441,,NA
NA53,Pakistan Tehreek-e-Insaf,91441,91441,1,NA
NA53,Pakistan Tehreek-e-Insaf-Gulalai,139,91441,,NA
NA53,Tehreek Labbaik Pakistan,5077,91441,,NA
NA53,Tehreek-e-Labbaik Islam,366,91441,,NA
NA55,Allah-O-Akbar Tehreek,1113,145526,,NA
NA55,Mutahida Majlis-e-Amal Pakistan,11603,145526,,NA
NA55,Pakistan Human Rights Party,139,145526,,NA
NA55,Pakistan Muslim League (N),102079,145526,,NA
NA55,Pakistan Peoples Party,11149,145526,,NA
NA55,Pakistan Tehreek-e-Insaf,145526,145526,1,NA
NA55,Pakistan Tehreek-e-Insaf (Nazriati),964,145526,,NA
NA55,Tehreek Labbaik Pakistan,24851,145526,,NA
NA56,Independent,23213,163273,,NA
NA56,Pakistan Justice and Democratic Party,2814,163273,,NA
NA56,Pakistan Muslim League (N),99327,163273,,NA
NA56,Pakistan Peoples Party Parliamentarians,38773,163273,,NA
NA56,Pakistan Tehreek-e-Insaf,163273,163273,1,NA
NA56,Tehreek Labbaik Pakistan,62107,163273,,NA
NA57,Independent,8861,136304,,NA
NA57,Pakistan Muslim League (N),124718,136304,,NA
NA57,Pakistan Peoples Party Parliamentarians,24050,136304,,NA
NA57,Pakistan Sunni Tehreek,1137,136304,,NA
NA57,Pakistan Tehreek-e-Insaf,136304,136304,1,NA
NA57,Tehreek Labbaik Pakistan,27581,136304,,NA
NA58,Independent,6008,125090,,NA
NA58,Mutahida Majlis-e-Amal Pakistan,1960,125090,,NA
NA58,Pakistan Muslim League (N),72620,125090,,NA
NA58,Pakistan Peoples Party Parliamentarians,125090,125090,1,NA
NA58,Pakistan Tehreek-e-Insaf,96192,125090,,NA
NA58,Tehreek Labbaik Pakistan,23428,125090,,NA
NA58,Tehreek-e-Labbaik Islam,2468,125090,,NA
NA59,Independent,70850,89055,,NA
NA59,Mutahida Majlis-e-Amal Pakistan,1506,89055,,NA
NA59,Pakistan Muslim League (N),21754,89055,,NA
NA59,Pakistan Peoples Party Parliamentarians,4830,89055,,NA
NA59,Pakistan Tehreek-e-Insaf,89055,89055,1,NA
NA59,Tehreek Labbaik Pakistan,14320,89055,,NA
NA6,All Pakistan Muslim League,675,63559,,NA
NA6,Allah-O-Akbar Tehreek,818,63559,,NA
NA6,Awami National Party,30695,63559,,NA
NA6,Mutahida Majlis-e-Amal Pakistan,36814,63559,,NA
NA6,Pakistan Muslim League (N),3603,63559,,NA
NA6,Pakistan Peoples Party Parliamentarians,27884,63559,,NA
NA6,Pakistan Tehreek-e-Insaf,63559,63559,1,NA
NA6,Tehreek Labbaik Pakistan,3168,63559,,NA
NA62,Awami Muslim League Pakistan,119235,119235,1,NA
NA62,Barabri Party Pakistan,88,119235,,NA
NA62,Independent,1672,119235,,NA
NA62,Mutahida Majlis-e-Amal Pakistan,3790,119235,,NA
NA62,Pakistan Awami League,1086,119235,,NA
NA62,Pakistan Muslim League (N),91862,119235,,NA
NA62,Pakistan Peoples Party Parliamentarians,4730,119235,,NA
NA62,Pakistan Welfare Party,378,119235,,NA
NA62,Tehreek Labbaik Pakistan,8869,119235,,NA
NA63,Independent,71555,102529,,NA
NA63,Mutahida Majlis-e-Amal Pakistan,4668,102529,,NA
NA63,Pakistan Muslim League (N),23221,102529,,NA
NA63,Pakistan Peoples Party Parliamentarians,2602,102529,,NA
NA63,Pakistan Tehreek-e-Insaf,102529,102529,1,NA
NA63,Tehreek Labbaik Pakistan,9849,102529,,NA
NA64,Allah-O-Akbar Tehreek,1982,155213,,NA
NA64,Independent,83,155213,,NA
NA64,Mutahida Majlis-e-Amal Pakistan,1310,155213,,NA
NA64,Pakhtoonkhwa Milli Awami Party,101,155213,,NA
NA64,Pakistan Muslim League (N),130149,155213,,NA
NA64,Pakistan Peoples Party Parliamentarians,8238,155213,,NA
NA64,Pakistan Tehreek-e-Insaf,155213,155213,1,NA
NA64,Pakistan Tehreek-e-Insaf (Nazriati),557,155213,,NA
NA64,Pakistan Tehreek-e-Insaniat,97,155213,,NA
NA64,Tehreek Labbaik Pakistan,13707,155213,,NA
NA65,Independent,12603,157589,,NA
NA65,Mutahida Majlis-e-Amal Pakistan,2885,157589,,NA
NA65,Pakistan Justice and Democratic Party,820,157589,,NA
NA65,Pakistan Muslim League,157589,157589,1,NA
NA65,Pakistan Muslim League (N),106090,157589,,NA
NA65,Pakistan Peoples Party Parliamentarians,3253,157589,,NA
NA65,Tehreek Labbaik Pakistan,23857,157589,,NA
NA66,Barabri Party Pakistan,868,112366,,NA
NA66,Independent,27625,112366,,NA
NA66,Mutahida Majlis-e-Amal Pakistan,1314,112366,,NA
NA66,Pakistan Muslim League (N),92915,112366,,NA
NA66,Pakistan Peoples Party Parliamentarians,5023,112366,,NA
NA66,Pakistan Tehreek-e-Insaf,112366,112366,1,NA
NA66,Tehreek Labbaik Pakistan,29559,112366,,NA
NA67,All Pakistan Muslim League,101,93206,,NA
NA67,Allah-O-Akbar Tehreek,1756,93206,,NA
NA67,Independent,8359,93206,,NA
NA67,Mutahida Majlis-e-Amal Pakistan,555,93206,,NA
NA67,Pakistan Justice and Democratic Party,451,93206,,NA
NA67,Pakistan Muslim League (N),82513,93206,,NA
NA67,Pakistan Peoples Party Parliamentarians,2613,93206,,NA
NA67,Pakistan Tehreek-e-Insaf,93206,93206,1,NA
NA67,Tehreek Labbaik Pakistan,16327,93206,,NA
NA68,Independent,10481,104699,,NA
NA68,Mutahida Majlis-e-Amal Pakistan,2366,104699,,NA
NA68,Pakistan Awami Raj,854,104699,,NA
NA68,Pakistan Muslim League,104699,104699,1,NA
NA68,Pakistan Muslim League (N),68957,104699,,NA
NA68,Pakistan Peoples Party Parliamentarians,3236,104699,,NA
NA68,Tehreek Labbaik Pakistan,43804,104699,,NA
NA69,All Pakistan Muslim League,434,122336,,NA
NA69,Independent,6536,122336,,NA
NA69,Pakistan Muslim League,122336,122336,1,NA
NA69,Pakistan Muslim League (N),49295,122336,,NA
NA69,Pakistan Peoples Party (Shaheed Bhutto),139,122336,,NA
NA69,Pakistan Peoples Party Parliamentarians,6035,122336,,NA
NA69,Pakistan Quami Yakjehti Party,204,122336,,NA
NA69,Tehreek Labbaik Pakistan,27791,122336,,NA
NA7,All Pakistan Muslim League,305,63017,,NA
NA7,Allah-O-Akbar Tehreek,1313,63017,,NA
NA7,Awami National Party,19543,63017,,NA
NA7,Independent,185,63017,,NA
NA7,Mutahida Majlis-e-Amal Pakistan,46040,63017,,NA
NA7,Pakistan Muslim League (N),1256,63017,,NA
NA7,Pakistan Peoples Party Parliamentarians,10064,63017,,NA
NA7,Pakistan Tehreek-e-Insaf,63017,63017,1,NA
NA70,Independent,4676,95168,,NA
NA70,Pakistan Muslim League (N),67233,95168,,NA
NA70,Pakistan Peoples Party Parliamentarians,42508,95168,,NA
NA70,Pakistan Tehreek-e-Insaf,95168,95168,1,NA
NA70,Tehreek Labbaik Pakistan,21276,95168,,NA
NA70,Tehreek-e-Labbaik Islam,4664,95168,,NA
NA71,Independent,43772,88764,,NA
NA71,Pakistan Muslim League (N),88764,88764,1,NA
NA71,Pakistan Peoples Party Parliamentarians,1738,88764,,NA
NA71,Pakistan Quami Yakjehti Party,113,88764,,NA
NA71,Pakistan Tehreek-e-Insaf,81536,88764,,NA
NA71,Tehreek Labbaik Pakistan,29636,88764,,NA
NA71,Tehreek-e-Labbaik Islam,1299,88764,,NA
NA72,Allah-O-Akbar Tehreek,2483,129041,,NA
NA72,Independent,7081,129041,,NA
NA72,Mutahida Majlis-e-Amal Pakistan,539,129041,,NA
NA72,Pakistan Muslim League (N),129041,129041,1,NA
NA72,Pakistan Peoples Party Parliamentarians,2639,129041,,NA
NA72,Pakistan Tehreek-e-Insaf,91393,129041,,NA
NA72,Tehreek Labbaik Pakistan,19731,129041,,NA
NA73,Independent,1768,103133,,NA
NA73,Muttahida Qaumi Movement Pakistan,111,103133,,NA
NA73,Pakistan Muslim League (N),98873,103133,,NA
NA73,Pakistan Peoples Party Parliamentarians,1511,103133,,NA
NA73,Pakistan Sunni Tehreek,269,103133,,NA
NA73,Pakistan Tehreek-e-Insaf,103133,103133,1,NA
