Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout
TRIBAL AREA-XII,NA-47,Muhammad Iftikhar Zafar,Independent,1435,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Muhammad Rasool,Jamaat-e-Islami Pakistan,727,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Muhammad Sadaq Khan,Independent,7,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Nabi Gull,Independent,27,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Naqib Khan,Independent,16,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Naseer Khan,Independent,6,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Qaisar Jamal,Pakistan Tehreek-e-Insaf,11328,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Rifat Ullah,Independent,10,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Saif ur Rehman,Independent,59,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Shahab ud din,Independent,30,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Shahi Khan,Awami National Party,2805,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Sher Azam Khan,Independent,5028,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Zafar Baig Bhattani,Independent,28,48139,457,48217,121265,39.76 %
TRIBAL AREA-XII,NA-47,Zait Ullah,Independent,33,48139,457,48217,121265,39.76 %
ISLAMABAD-I,NA-48,Alamgir Khan,Pakistan Tehrek-e-Inqalab,424,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Altaf Hussain Awan,Independent,603,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Anjum Aqeel Khan,Pakistan Muslim League (N),52205,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Aurang Zaib Malik,Muttahida Qaumi Movement Pakistan,172,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Aurangzeb Iqbal,Independent,8,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Ayatullah,Independent,257,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Ch Muhammad Ali,Independent,13,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Dr Muhammad Aziz Khan,Pakistan Awami Inqalab,7,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Faisal Sakhi Butt,Pakistan Peoples Party Parliamentarians,9178,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Firdous Khan,Communist Party of Pakistan,30,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Gahi Khan,Pakistan Brohi Party,98,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Ghulam Rasul,Independent,135,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Ghulam Shabir Babar,Independent,151,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,J Salik,Independent,5038,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,JavedUllah,Independent,1897,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Khalil Ur Rehman,Independent,29,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Khan Tasaddaq Hassan,Independent,8,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Makhdom Javed Hashmi,Pakistan Tehreek-e-Insaf,73878,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Malik Muhammad Yousaf,Pakistan Peoples Party (Shaheed Bhutto),117,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Maqbool Masih,Independent,377,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Mian Muhammad Alsam,Jamaat-e-Islami Pakistan,25048,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhamamd Rafique Awan,Independent,14,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Abdullah,Jamiat Ulama-e-Islam (F),733,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Akbar,Pakistan Motherland Party,68,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Anwar,Independent,43,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Asghar Khan,Majlis-e-Wahdat-e-Muslimeen Pakistan,1125,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Asif Nawaz,Independent,24,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Babar Arshad Pirzada,Independent,17,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Haroon,Independent,27,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Irfan ul Haq,Independent,7,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Ismail kalwar,Independent,15,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Salman Yahya,Independent,7,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muhammad Shahid,Independent,42,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Muzaffar Ali,Independent,57,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Nadir Sher,Independent,317,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Naeem Allah Rakha,Independent,3,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Naila Joseph Dayal,Christian Progressive Movement,75,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Raja Fatehyab Khalid Zubair,Independent,29,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Raja Shiraz Ahmed,Independent,29,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Rana Ghulam Farid,Independent,23,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Raza Muhammad,Independent,24,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Riaz Hanif,Independent,29,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Sahibzada Ahmed Raza Khan Qasuri,All Pakistan Muslim League,47,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Salman Yousaf Khan,Independent,32,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Sardar Naseer Ahmed,Pakistan Freedom Party,32,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Shahzad Khan,Awami National Party,42,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Syed Ahmed Ali Shah,Pak Wattan Party,128,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Syed Zia Ahmed Ali Gillani,Independent,45,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Talat Mehmood Qadri,Sunni Ittehad Council,39,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Tasneem ul Haq Hasni,Independent,261,173189,1042,173968,292142,59.55 %
ISLAMABAD-I,NA-48,Zaheer Abbas,Independent,182,173189,1042,173968,292142,59.55 %
ISLAMABAD-II,NA-49,Altaf Hussain Awan Pakistani,Independent,747,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Asia Chudhary,Pakistan Amn Party,43,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Choudhary Muhammad Ilyas,Muttahida Qaumi Movement Pakistan,171,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Chudhary Ghulam Rasool Mehr,Pakistan Justice Party,280,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Chudhary Ilyas Meharban,Pakistan Tehreek-e-Insaf,57383,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Dr. Ghazanfar Mehdi,Independent,175,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Dr. Muhammad  Usman Khan Advocate,Independent,903,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Dr. Tariq Fazal Chudhary,Pakistan Muslim League (N),94106,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Iftikhar Hussain Awan,Independent,217,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Malik Musa Khan,Independent,24,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Molvi Iqbal Haider Advocate,Awami Himayat Tehreek Pakistan,330,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Muhammad Amjad,All Pakistan Muslim League,336,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Muhammad Nadeem Qureshi,Independent,664,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Muhammad Shafait,Independent,55,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Muhammad Sultan,Pakistan Tehrek-e-Inqalab,161,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Mustafa Nawaz Khokhar,Pakistan Peoples Party Parliamentarians,44984,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Naila Joseph Dayal,Christian Progressive Movement,41,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Noor Muhammad Shah,Jamiat Ulama-e-Islam (F),200,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Raja Aurangzeb Khan,Independent,173,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Raja Sharafat Khan,Independent,447,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Sardar Naseer Ahmed,Pakistan Freedom Party,46,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Shahbaz Raza,Independent,74,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Shaikh  Siddique,Independent,55,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Umar Hayat,Awami National Party,79,214364,1406,216008,334241,64.36 %
ISLAMABAD-II,NA-49,Zubair Farooq Khan,Jamaat-e-Islami Pakistan,9968,214364,1406,216008,334241,64.36 %
RAWALPINDI-I,NA-50,AAMIR JAMEEL,Independent,636,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,DR SARFRAZ AHMAD CHEEMA,Markazi Jamiat Mushaikh Pakistan,585,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,ENGINEER MUHAMMAD ZAKIR,Muttahida Qaumi Movement Pakistan,232,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,GHULAM MURTAZA SATTI,Pakistan Peoples Party Parliamentarians,45203,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,HAFIZ RAJA MUHAMMAD SANA UL HAQ,Pakistan Sunni Tehreek,997,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,MUHAMMAD KHURSHEED DHANYAL,Independent,370,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,MUNAWAR HUSSAIN ABBASI,Independent,1590,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,RAJA TARIQ MEHMOOD JANJUA,Independent,692,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,SADAQAT ALI ABBASI,Pakistan Tehreek-e-Insaf,47210,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,SAIF ULLAH SAIFI,Jamiat Ulama-e-Islam (F),7356,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,SHAHID KHAQAN ABBASI,Pakistan Muslim League (N),134439,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,SOLAT MAJEED SATTI ADVOCATE,Jamaat-e-Islami Pakistan,7465,247047,7316,252679,442458,57.10 %
RAWALPINDI-I,NA-50,WASEEM AKHTER RAJA,All Pakistan Muslim League,272,247047,7316,252679,442458,57.10 %
RAWALPINDI-II,NA-51,FARHAT FAHEEM BHATTI,Pakistan Tehreek-e-Insaf,39842,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,GUL IKHLAQ HUSSAIN THATHAL Adv,Independent,118,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,IRUM PERVEEN,Independent,1011,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,KHURRAM PARVAIZ RAJA,Independent,549,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,MALIK GULFRAZ AHMAD FARAZ,Jamiat Ulama-e-Islam (F),412,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,MALIK TARIQ MEHMOOD,Awami Muslim League Pakistan,177,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,MIRZA MUKHTAR ALI KHAN,Jamiat Ulama-e-Pakistan  (Noorani),995,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,MUHAMMAD ASHRAF KAYANI,Independent,250,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,MUHAMMAD NISAR BUTT,All Pakistan Muslim League,203,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,MUHAMMAD PERVAIZ,Muttahida Qaumi Movement Pakistan,338,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,NAZAKAT ALI,Independent,293,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,RAJA FAIZ AKBAR JANJUHA,Pakistan Peoples Party (Shaheed Bhutto),285,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,RAJA MUHAMMAD AMIN,Independent,155,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,RAJA MUHAMMAD JAVED IKHLAS,Pakistan Muslim League (N),121067,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,RAJA MUHAMMAD JAWWAD,Jamaat-e-Islami Pakistan,3121,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,RAJA PARVAIZ ASHRAF,Pakistan Peoples Party Parliamentarians,67146,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,RAJA ZAFAR IQBAL,Islamic Republican Party,538,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,SHAH MOHAMMAD,Awami National Party,371,239527,5815,245342,452466,54.22 %
RAWALPINDI-II,NA-51,SHAHID TANVEER JANJUA,Independent,869,239527,5815,245342,452466,54.22 %
RAWALPINDI-III,NA-52,ABADAT ALI AWAN,Independent,666,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,CH HAMAD AFZAL,Independent,1081,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,CH IJAZ HUSSAIN GUJJAR ADVOCATE,Pakistan Justice Party,261,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,CH NISAR ALI KHAN,Pakistan Muslim League (N),133143,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,IERAJ SHAHNAWAZ RAJA,Independent,212,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,JIBRAN GILL,Independent,85,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,JIBRAN GILL,Millat Party,0,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,KHALID MEHMOOD MIRZA,Jamaat-e-Islami Pakistan,2736,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,LT  COL R  AJMAL SABIR RAJA,Pakistan Tehreek-e-Insaf,69769,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,MALIK TARIQ MEHMOOD,Muttahida Qaumi Movement Pakistan,275,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,MAQSOOD JAN,Independent,158,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,MAULANA ABDUL GHAFAR  TAUHADI,Jamiat Ulama-e-Islam (F),558,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,MOLANA MUHAMMAD BILAL UMER,MUTAHIDA DEENI MAHAZ,2107,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,MUHAMMAD BASHARAT RAJA,Pakistan Muslim League,43866,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,SYED RASHID ALI GERDAZI,Pakistan Falah Party,724,255828,4329,259631,455186,57.04 %
RAWALPINDI-III,NA-52,TAHIR FAROOQ,Independent,187,255828,4329,259631,455186,57.04 %
RAWALPINDI-IV,NA-53,Bashir Hussain Shah,Communist Party of Pakistan,161,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Chaudhary Nisar Ali Khan,Pakistan Muslim League (N),102430,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Ghulam Sarwar khan,Pakistan Tehreek-e-Insaf,110593,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Hakeem Muhammad Asaad,Jamiat Ulama-e-Islam (F),1966,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Khawaja Muhammad imtiaz,Independent,495,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Khawaja Muhammad Waqar Khan,Jamaat-e-Islami Pakistan,3338,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Malik Azhar Mehmood,All Pakistan Muslim League,298,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Muhammad Sarwar,MUTAHIDA DEENI MAHAZ,657,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Mumtaz Ali Khan,Independent,45,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Pir Muhammad Saeed Ahmad Nuqshbandi,Jamiat Ulama-e-Pakistan  (Noorani),1782,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Syed Husnain Gillani,Independent,310,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Syed Intikhab  Hussain Shah,Pakistan Peoples Party Parliamentarians,14870,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Syed Intikhab Hussain Shah,Millat Party,0,237097,0,236524,382115,61.90 %
RAWALPINDI-IV,NA-53,Zahid Mehmood kiani,Muttahida Qaumi Movement Pakistan,152,237097,0,236524,382115,61.90 %
RAWALPINDI-V,NA-54,ASGHAR ALI MUBARIK,Majlis-e-Wahdat-e-Muslimeen Pakistan,385,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,CHAUDHARY IBRAR AHMED,Independent,135,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,HINA MANZOOR,Pakistan Tehreek-e-Insaf,68687,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,ISRAR AHMED KHAN,Pakistan Peoples Party (Shaheed Bhutto),210,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,KHURSHEED ANWAR QURESHI,Independent,30,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,MALIK IBRAR AHMED,Pakistan Muslim League (N),76336,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,MIAN MUHAMMAD ATEEQ SHEIKH,Muttahida Qaumi Movement Pakistan,100,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,MUHAMMAD AWAIS SIDDIQI,Jamiat Ulama-e-Pakistan  (Noorani),468,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,MUHAMMAD AYAZ CHAUDHARY,Jamiat Ulama-e-Islam (F),197,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,MUHAMMAD SAQIB NAEEM SHEIKH,Independent,28,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,MUHAMMAD SHOAIB,Independent,34,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,MUHAMMAD YOUSUF NAWAZ,Jannat Pakistan Party,20,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,NADEEM K JOSEPH,Christian Progressive Movement,93,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,NASIR MEHMOOD,Independent,555,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,NASIR MUNIR AHMED,Independent,64,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,RIZWAN AHMED,Jamaat-e-Islami Pakistan,2970,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,SARDAR NASEER AHMED,Pakistan Freedom Party,32,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,SYED ZAHID ABBAS KAZMI,Pak Wattan Party,30,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,TAHIR AQEEL,MUTAHIDA DEENI MAHAZ,1039,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,TAHIR IQBAL,Pakistan Sunni Tehreek,327,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,TAHIR MEHMOOD AWAN,Independent,124,165049,1801,166523,300816,55.36 %
RAWALPINDI-V,NA-54,ZUMURRAD KHAN,Pakistan Peoples Party Parliamentarians,13185,165049,1801,166523,300816,55.36 %
RAWALPINDI-VI,NA-55,ALHAJ MUHAMMAD ASAD BHATTI,Pakistan Peoples Party (Shaheed Bhutto),295,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,ALI AHMED KURD,Independent,556,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,BASIT ALI,Independent,51,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,CH IFTIKHAR AHMED,Pakistan Peoples Party Parliamentarians,6216,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,CH WASEEM AHMED,Jamiat Ulama-e-Islam (F),1031,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,DR BABUR ZAHEER UDDIN,Jannat Pakistan Party,26,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,DR MUHAMMAD SULTAN ALAM,Independent,66,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,GHULAM HUSSAIN FAROOQI,Jamiat Ulama-e-Pakistan  (Noorani),91,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,HABIB ULLAH KHAN,Awami National Party,135,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,MAKHDOM MUHAMMAD NIAZ INQLABI,Independent,68,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,MALIK RIASAT ALI,Independent,92,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,MALIK SHAKEEL AHMED AWAN,Pakistan Muslim League (N),75306,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,MUHAMMAD AKMAL MIRZA,Independent,20,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,MUHAMMAD ALI SHEIKH,Pakistan Insani Haqook Party (Pakistan Human Rights Party),944,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,MUHAMMAD ARIF SHAH,Independent,248,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,MUHAMMAD HANIF CHAUDHARY,Jamaat-e-Islami Pakistan,2034,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,NASAR ULLAH KHAN JARRAL,All Pakistan Muslim League,24,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,RAJA AJAZ HUSSAIN,Muttahida Qaumi Movement Pakistan,101,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,SARDAR NASEER AHMED,Pakistan Freedom Party,191,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,SHEIKH RASHID AHMED,Awami Muslim League Pakistan,88627,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,SYED SAEED UL HASSAN RIZVI,Independent,1025,177341,2524,179731,324022,55.47 %
RAWALPINDI-VI,NA-55,UMMAR MEHDI RAJA,Independent,179,177341,2524,179731,324022,55.47 %
RAWALPINDI-VII,NA-56,Alhaj Muhammad Asad Bhatti,Pakistan Peoples Party (Shaheed Bhutto),75,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Ali Adrees,Pak Wattan Party,62,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Ashfaq Abbasi,Independent,73,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Asif Javeed,Independent,40,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Bin Hur Yousaf,Independent,722,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Chaudhry Hamad Afzal,Independent,10,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Imran Khan,Pakistan Tehreek-e-Insaf,80577,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,M Zahid Aziz Alvi Advocate,Independent,59,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Malik Aurang Zaib Awan,Muttahida Qaumi Movement Pakistan,86,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Muhammad Hanif Abbasi,Pakistan Muslim League (N),67221,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Muhammad Zubair Abbasi,Jamiat Ulama-e-Islam (F),272,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Muhammad Zubair Kiani,Independent,26,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Mullana Muhammad Ayaz,Independent,131,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Raja Israr Ahmed Abbasi Advocate,Pakistan Peoples Party Parliamentarians,4091,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Raja Zafar Iqbal,Islamic Republican Party,93,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Raza Ahmed Shah,Jamaat-e-Islami Pakistan,6463,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Saira Khatoon,Pak Justic Party (Haqiqi),26,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Sardar Naseer Ahmed,Pakistan Freedom Party,35,160363,1479,161627,288423,56.04 %
RAWALPINDI-VII,NA-56,Wajid Hussain Mughal,Markazi Jamiat Mushaikh Pakistan,24,160363,1479,161627,288423,56.04 %
ATTOCK-I,NA-57,Dilshad Hussain Shah,Independent,444,182125,5464,186122,353751,52.61 %
ATTOCK-I,NA-57,Hafiz Saeed Ahmed,Jamiat Ulama-e-Pakistan  (Noorani),1449,182125,5464,186122,353751,52.61 %
ATTOCK-I,NA-57,Haji Muhammad Gulzar Awan,Pakistan Peoples Party Parliamentarians,1807,182125,5464,186122,353751,52.61 %
ATTOCK-I,NA-57,Israr Ahmed Sheikh,Jamaat-e-Islami Pakistan,2915,182125,5464,186122,353751,52.61 %
ATTOCK-I,NA-57,Maj R Tahir Sadik,Independent,51439,182125,5464,186122,353751,52.61 %
ATTOCK-I,NA-57,Malik Ameen Aslam Khan,Pakistan Tehreek-e-Insaf,56007,182125,5464,186122,353751,52.61 %
ATTOCK-I,NA-57,Nadeem Raza Khan,Independent,261,182125,5464,186122,353751,52.61 %
ATTOCK-I,NA-57,Qari Attique Ur Rehman,Jamiat Ulama-e-Islam (F),5637,182125,5464,186122,353751,52.61 %
ATTOCK-I,NA-57,Sheikh Aftab Ahmed,Pakistan Muslim League (N),59920,182125,5464,186122,353751,52.61 %
ATTOCK-I,NA-57,Syed Asad Abbas,Independent,250,182125,5464,186122,353751,52.61 %
ATTOCK-II,NA-58,Arshad Mehmood,Pakistan Sunni Tehreek,1285,220811,7137,226165,359058,83.09 %
